ch_name,city,lat_and_lon
上海市浦东新区洪山路121弄,上海,"121.500114,31.180038"
上海市浦东新区上钢四村,上海,"121.49192,31.172901"
上海市浦东新区金高路58弄,上海,"121.605152,31.297766"
上海市浦东新区三三公路5020弄,上海,"121.907389,30.953997"
上海市浦东新区东海二村,上海,"121.902147,30.95422"
上海市浦东新区行泰路281弄,上海,"121.610114,31.291181"
上海市浦东新区浦明路868弄,上海,"121.512182,31.219722"
上海市浦东新区莲园路8弄,上海,"121.542758,31.183858"
上海市浦东新区御青路999弄,上海,"121.575139,31.152854"
上海市浦东新区芳华路660弄,上海,"121.564639,31.195874"
上海市浦东新区御青路1051弄,上海,"121.575515,31.150685"
上海市浦东新区尚博路650弄,上海,"121.524928,31.150321"
上海市浦东新区栖山路401弄,上海,"121.549629,31.247783"
上海市浦东新区杨思北街,上海,"121.492813,31.163857"
上海市浦东新区莲振路298号,上海,"121.569481,31.167719"
上海市浦东新区康杉路151弄,上海,"121.559786,31.150641"
上海市浦东新区建港村,上海,"121.840879,31.0303"
上海市浦东新区沪南路2591号,上海,"121.567881,31.148141"
上海市浦东新区张杨路3680弄,上海,"121.579054,31.253762"
上海市浦东新区祝桥村一灶,上海,"121.760183,31.102764"
上海市浦东新区新南村曹桥,上海,"121.627148,30.999981"
上海市浦东新区张杨北路5428弄,上海,"121.577108,31.34208"
上海市浦东新区关岳路181弄,上海,"121.586714,31.119844"
上海市浦东新区航头镇果园村,上海,"121.635892,31.019684"
上海市浦东新区沈庄村,上海,"121.5846,31.086049"
上海市浦东新区瑞浦路287弄,上海,"121.586816,31.094406"
上海市浦东新区洪山路301弄,上海,"121.501275,31.170281"
上海市浦东新区御水路555弄,上海,"121.576664,31.153733"
上海市浦东新区东昌新村,上海,"121.511591,31.232579"
上海市浦东新区祝康南苑,上海,"121.544379,31.221517"
上海市浦东新区环湖西三路222号,上海,"121.923413,30.884915"
上海市浦东新区御桥村东印家圈,上海,"121.558022,31.168008"
上海市浦东新区西门路588弄。,上海,"121.736907,31.04742"
上海市黄浦区斜土路486弄,上海,"121.47748,31.203181"
上海市黄浦区兴安路98弄,上海,"121.470795,31.221113"
上海市黄浦区思南路82弄,上海,"121.470884,31.209628"
上海市黄浦区斜土路460弄,上海,"121.477692,31.203162"
上海市黄浦区打浦路339弄,上海,"121.472809,31.199303"
上海市黄浦区五里桥路235弄,上海,"121.480164,31.203883"
上海市黄浦区黄陂南路688号,上海,"121.477084,31.214802"
上海市黄浦区斜土路468号,上海,"121.477434,31.203474"
